maker,classification,rationale
Microsoft,Mixed,"Locked to vendor classification (MICROSOFT CORPORATION = Mixed): ELA software dominates but purchases include Surface hardware"
Cisco,Mixed,"Switches/routers/IP phones (hardware) plus SmartNet, Webex, Flex EA software subscriptions — genuine blend"
Google,Mixed,"GCP cloud services and Mandiant services (digital) plus large Chromebook device fleets (hardware)"
Dell/EMC,Mixed,"PCs/servers/storage hardware dominates but includes TLA software agreements and support services"
Palo Alto Networks,Mixed,"Hardware-based firewalls plus software ELAs/ESAs, XSOAR/XSIAM subscriptions"
IBM,Mixed,"Locked to vendor classification: mainframes/Power servers (hardware) plus Cognos/Curam/QRadar software"
VMware,Digital,"Pure software: ELAs, NSX, Horizon, Workspace ONE licenses"
CrowdStrike,Digital,"Falcon endpoint security SaaS subscriptions"
Trellix/McAfee,Digital,"Endpoint/email security software licenses and renewals"
Salesforce,Digital,"CRM SaaS licenses (MyCity, HERRC, e-Arraignment) and Mulesoft platform"
ServiceNow,Digital,"ITSM PaaS subscriptions and professional services"
Red Hat,Digital,"Linux/OpenShift/Ansible subscriptions and services"
Oracle,Mixed,"Software ULAs plus Exadata systems and legacy hardware refreshes for PSAC/NJDR"
HP/HPE,Hardware,"Servers, PCs, monitors, printers predominate; software (UFT/QC) is minor"
Securonix,Digital,"UEBA security analytics SaaS"
Broadcom/Symantec/CA,Digital,"All software here: Symantec endpoint/Blue Coat and CA mainframe software support"
Check Point,Digital,"Purchases are licenses, software renewals, and support — no appliance purchases observed"
Commvault,Digital,"Backup/data-protection software licenses and support"
Arista,Hardware,"Network switches and chassis with embedded OS; maintenance on same"
NetApp,Hardware,"Storage arrays and maintenance/support on them"
Adobe,Digital,"Software: Acrobat, Experience Manager, ETLA licenses"
Netscout,Hardware,"Network monitoring probe appliances and maintenance on them"
Software AG,Digital,"Mainframe software (Natural/ADABAS) licensing"
Reveald,Digital,"Managed endpoint cyber-defense services"
Lenovo,Hardware,"Desktops, laptops, ThinkPads"
Veritas,Digital,"NetBackup and related software licenses and support"
Armis,Digital,"Asset visibility/security SaaS"
MTX Group,Digital,"Locked to vendor classification: Salesforce/cloud implementation services (MyCity)"
ScienceLogic,Digital,"IT infrastructure monitoring software"
Veracode,Digital,"Application security scanning SaaS"
Splunk,Digital,"SIEM software and cloud subscriptions"
Esri,Digital,"ArcGIS software licenses and professional services"
Accela,Digital,"Civic platform SaaS (FIRES inspections) licenses and support"
Fortinet,Mixed,"FortiGate appliances and SD-WAN equipment plus subscription renewals"
BMC,Digital,"Remedy/TrueSight software licenses and support"
AWS,Digital,"Cloud infrastructure services"
Ciena,Hardware,"Optical network transport equipment (CityNet)"
Autodesk,Digital,"AutoCAD/Revit/InfoWorks software licenses"
Juniper,Hardware,"Network switches and equipment"
Live XYZ,Digital,"Storefront/place-mapping SaaS platform"
Nuvalence,Digital,"Custom software development services (MyCity)"
Panasonic,Hardware,"Toughbook ruggedized laptops and tablets"
Proofpoint,Digital,"Email threat protection SaaS"
F5,Hardware,"Load balancer appliances and maintenance on them"
Skyhigh Security,Digital,"CASB cloud security software"
Deloitte,Mixed,"Locked to vendor classification (DELOITTE CONSULTING LLP = Mixed)"
Avaya,Mixed,"Phone system hardware plus custom application support services"
Citrix,Digital,"XenDesktop/Virtual Apps/NetScaler software licensing"
OpenText,Digital,"Documentum/TeamSite/NetIQ software licenses and support"
Synack,Digital,"Penetration-testing-as-a-service"
Riverbed,Hardware,"WAN optimization appliances and maintenance"
Nutanix,Mixed,"HCI nodes (hardware) with bundled software and support"
Gigamon,Hardware,"Network visibility/tap appliances (APT solution)"
Tableau,Digital,"Analytics software licenses"
Redis,Digital,"Redis Enterprise database software"
SAP,Digital,"Business Objects, Gigya (NYC.ID) software licenses and support"
Infoblox,Hardware,"DDI network appliances"
Informatica,Digital,"ETL software licenses"
Axis Communications,Hardware,"Surveillance cameras"
Workday,Digital,"Locked to vendor classification: HR/finance SaaS"
BlueCrest,Nontechnical,"Production mail inserting/sorting machinery — not IT"
Rapid7,Digital,"Vulnerability management SaaS"
Axon,Mixed,"Cameras/site surveillance hardware plus Fusus/evidence cloud platform"
Pure Storage,Hardware,"All-flash storage arrays"
Varonis,Digital,"Data security software"
Apple,Hardware,"iPads and Mac devices"
Kofax/Tungsten,Digital,"Document capture software (TotalAgility)"
DocuSign,Digital,"E-signature SaaS"
KnowBe4,Digital,"Security awareness training SaaS"
Ivanti,Digital,"Endpoint management software (ex-LANDESK)"
Tenable,Digital,"Nessus vulnerability management software"
Forescout,Digital,"Network access control software licenses"
Canon,Hardware,"Printers/scanners and production print equipment"
Dynatrace,Digital,"Application performance monitoring software"
Xerox,Hardware,"Printers and imaging equipment"
Brocade,Hardware,"SAN/Fibre Channel switches"
Genesys,Digital,"IVR/contact-center software (the CX company, not the Albany staffing firm)"
MongoDB,Digital,"Database software licenses"
Qualtrics,Digital,"Survey/experience SaaS"
APC/Schneider,Hardware,"UPS units, racks, power distribution"
Samsung,Hardware,"Displays/TVs"
Zoom,Digital,"Video conferencing SaaS"
Elastic,Digital,"Elasticsearch software"
SAS Institute,Digital,"Locked to vendor classification: analytics software platform"
GitHub,Digital,"Code hosting/DevOps SaaS"
Atlassian,Digital,"Jira/Confluence software"
SolarWinds,Digital,"Network management software"
Poly/Polycom,Hardware,"Conference phones and headsets"
Snowflake,Digital,"Cloud data warehouse SaaS"
UKG/Kronos,Digital,"Workforce management software"
Tyler Technologies,Digital,"Government software (Munis)"
Veeam,Digital,"Backup software"
Smartsheet,Digital,"Work management SaaS"
Logitech,Hardware,"Peripherals (keyboards, webcams)"
UiPath,Digital,"RPA software"
Slack,Digital,"Messaging SaaS"
Bluebeam,Digital,"Construction PDF/markup software"
GitLab,Digital,"DevOps platform software"
Verint,Digital,"Workforce/engagement analytics software"
Bentley,Digital,"MicroStation engineering software"
Qualys,Digital,"Vulnerability management SaaS"
Datadog,Digital,"Observability SaaS"
ViewSonic,Hardware,"Monitors and displays"
Zebra,Hardware,"Barcode printers and scanners"
MathWorks,Digital,"MATLAB software licenses"
SMART (boards),Hardware,"Interactive whiteboard displays"
Motorola,Mixed,"Locked to vendor classification: radios/devices plus command software"
NICE Systems,Digital,"Locked to vendor classification: public-safety recording/analytics software"
